Organization Name,Headquarters Location,Operating Status,Company Type,Number of Investments,Number of Lead Investments,Number of Diversity Investments,Number of Exits,Number of Lead Investors,Number of Investors,Industry Groups,Industries,Number of Funding Rounds,Funding Status,Last Funding Date,Last Funding Amount,Last Funding Amount Currency,Last Funding Amount Currency (in USD),Last Funding Type,Last Equity Funding Type,Last Equity Funding Amount,Last Equity Funding Amount Currency,Last Equity Funding Amount Currency (in USD),Total Funding Amount,Total Funding Amount Currency,Total Funding Amount Currency (in USD),Number of Events,SEMrush - Monthly Visits,SEMrush - Average Visits (6 months),SEMrush - Visit Duration,Aberdeen - IT Spend,Aberdeen - IT Spend Currency,Aberdeen - IT Spend Currency (in USD),Principales inversionistas
Tencent,"Shenzhen, Guangdong, China",Active,For Profit,693,375,15,125,1,4,"Advertising, Gaming, Internet Services, Sales and Marketing","Advertising, Internet, Online Games, Online Portals, Social Media Marketing",6,IPO,5/29/2020,6000000000,USD,6000000000,Post-IPO Debt,Post-IPO Equity,44350000,USD,44350000,12576770000,USD,12576770000,22,"4,085,844","3,553,184",600,,,,"IDG Capital, Prosus & Naspers, Lippo Group, PCCW"
Warburg Pincus,"New York, New York, United States",Active,,433,286,22,131,,,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",1,,8/3/2021,38028202,USD,38028202,Venture - Series Unknown,Venture - Series Unknown,38028202,USD,38028202,38028202,USD,38028202,,34.635,"34,033.67",392,53801,USD,53801,
Twitter,"San Francisco, California, United States",Active,For Profit,10,2,1,3,9,37,"Content and Publishing, Information Technology, Internet Services, Media and Entertainment, Messaging and Telecommunications","Blogging Platforms, Messaging, SMS, Social Media",19,IPO,3/4/2022,2890000000,USD,2890000000,Post-IPO Equity,Post-IPO Equity,2890000000,USD,2890000000,4430191511,USD,4430191511,77,"6,026,399,205","3,104,998,131.33",942,,,,"Andreessen Horowitz, Morgan Stanley, Spark Capital, Union Square Ventures, Insight Partners"
Ubisoft,"Montreuil-sous-bois, Ile-de-France, France",Active,For Profit,9,,,1,1,4,"Content and Publishing, Gaming, Media and Entertainment","Media and Entertainment, Publishing, Video Games",3,IPO,3/21/2018,618000000,EUR,763021367,Post-IPO Secondary,Post-IPO Equity,50000000,CNY,7629264,770650631,USD,770650631,16,"32,820,567","27,881,933.83",392,,,,"Tencent, JP Morgan Chase, Ontario Teachers' Pension Plan, Electronic Arts"
WeWork,"New York, New York, United States",Active,For Profit,9,6,4,2,11,24,Real Estate,"Commercial Real Estate, Coworking, Property Development, Real Estate",21,IPO,10/29/2021,150000000,USD,150000000,Post-IPO Equity,Post-IPO Equity,150000000,USD,150000000,21595784331,USD,21595784331,120,"2,646,155","2,483,475.83",280,343977,USD,343977,"SoftBank, JP Morgan Chase, Goldman Sachs, Insight Partners, Cushman & Wakefield"
Wagestream,"London, England, United Kingdom",Active,For Profit,1,,,,6,15,"Apps, Financial Services, Software","Apps, Financial Services, FinTech, Wealth Management",7,Late Stage Venture,4/13/2022,115000000,USD,115000000,Debt Financing,Series C,60000000,USD,60000000,254323381,USD,254323381,,33.731,"19,865.67",122,,,,"Smash Capital, Ascension, BlackRock, QED Investors, Northzone"
Xendit,"Jakarta, Jakarta Raya, Indonesia",Active,For Profit,5,3,,,3,9,"Financial Services, Lending and Investments, Payments","Banking, Finance, Financial Services, FinTech, Payments",6,Late Stage Venture,9/14/2021,150000000,USD,150000000,Series C,Series C,150000000,USD,150000000,214720000,USD,214720000,1,"7,949,770","1,842,012.83",545,,,,"Y Combinator, Tiger Global Management, Accel, East Ventures, Goat Capital"
Techstars,"Boulder, Colorado, United States",Active,For Profit,3.569,491,795,363,1,11,"Financial Services, Lending and Investments","Finance, Financial Services, Venture Capital",6,,5/17/2021,4999999,USD,4999999,Venture - Series Unknown,Venture - Series Unknown,4999999,USD,4999999,108799999,USD,108799999,318,606.778,"240,410.17",275,26964318,USD,26964318,"RRE Ventures, Foundry Group, Mercury, Silicon Valley Bank, IA Ventures"
StartEngine,"West Hollywood, California, United States",Active,,211,19,21,3,1,11,"Financial Services, Lending and Investments","Crowdfunding, Finance, FinTech, Funding Platform",8,,12/10/2021,50000000,USD,50000000,Equity Crowdfunding,Equity Crowdfunding,50000000,USD,50000000,87608095,USD,87608095,2,"1,392,183","2,817,501.17",872,36167,USD,36167,"Meyer Global Management, BAM Ventures, Erik Peterson, Sunmeet Jolly, Kevin Zuber"
Verizon,"New York, New York, United States",Active,For Profit,15,8,2,3,1,3,"Hardware, Information Technology, Mobile","Communications Infrastructure, Information Technology, Mobile, Telecommunications",8,IPO,3/18/2022,11800000,USD,11800000,Grant,Post-IPO Equity,21271935000,USD,21271935000,30091614466,USD,30091614466,71,"114,454,115","68,392,570.17",520,,,,"American Rescue Plan, NYSERDA, ATN International"
Terra,"Seoul, Seoul-t'ukpyolsi, South Korea",Active,For Profit,14,2,1,,8,31,"Financial Services, Other, Payments, Software","Blockchain, Cryptocurrency, Financial Services, FinTech",15,,1/26/2021,25000000,USD,25000000,Venture - Series Unknown,Venture - Series Unknown,25000000,USD,25000000,58000000,USD,58000000,1,140.581,100.92,669,,,,"Galaxy Digital, Hashed, Polychain, Binance, Coinbase Ventures"
Wyre,"San Francisco, California, United States",Active,For Profit,,,,,5,25,"Financial Services, Payments, Software","Cryptocurrency, Financial Services, FinTech, Payments",8,M&A,1/26/2021,7500000,USD,7500000,Venture - Series Unknown,Venture - Series Unknown,7500000,USD,7500000,29146000,USD,29146000,2,666.818,"1,032,822.5",734,831126,USD,831126,"Digital Currency Group, Blockchain Capital, Stellar Development Foundation, Draper Associates, Kraken"
Zomato,"Gurgaon, Haryana, India",Active,For Profit,15,13,,2,12,25,"Apps, Events, Food and Beverage, Media and Entertainment, Mobile, Software, Transportation","Food Delivery, Mobile Apps, Reservations, Restaurants",21,IPO,2/22/2021,250000000,USD,250000000,Venture - Series Unknown,Venture - Series Unknown,250000000,USD,250000000,2100568357,USD,2100568357,,"28,528,270","22,805,302",494,,,,"Apple, Sequoia Capital, Info Edge, Tiger Global Management, Ant Group"
SpaceX,"Hawthorne, California, United States",Active,For Profit,,,,,9,65,"Manufacturing, Science and Engineering, Transportation","Aerospace, Manufacturing, Space Travel, Transportation",63,,4/21/2022,69950000,USD,69950000,Grant,Venture - Series Unknown,337355200,USD,337355200,7788578366,USD,7788578366,10,"2,679,672","2,403,973.5",428,35338360,USD,35338360,"Google, Fidelity, Baillie Gifford, Craft Ventures, Bank of America"
Twitch,"San Francisco, California, United States",Active,For Profit,,,,,2,9,"Content and Publishing, Gaming, Internet Services, Media and Entertainment, Video","Media and Entertainment, Social Media, Video, Video Games, Video Streaming",3,M&A,9/30/2013,20000000,USD,20000000,Series C,Series C,20000000,USD,20000000,35000000,USD,35000000,24,"1,231,225,837","1,215,374,519.33",1.545,,,,"Take-Two Interactive Software, Y Combinator, Draper Associates, Bessemer Venture Partners, SV Angel"
SAP,"Walldorf, Baden-Wurttemberg, Germany",Active,For Profit,29,7,,14,1,2,"Consumer Electronics, Data and Analytics, Financial Services, Hardware, Software","Analytics, Business Intelligence, Computer, Finance, Software",2,IPO,4/24/2019,1300000000,USD,1300000000,Post-IPO Equity,Post-IPO Equity,1300000000,USD,1300000000,1301371240,USD,1301371240,239,"27,548,849","26,208,156.17",544,67473085,USD,67473085,"Elliott Management, EASME - EU Executive Agency for SMEs"
Wefunder,"San Francisco, California, United States",Active,For Profit,15,1,4,2,,24,"Financial Services, Lending and Investments","Crowdfunding, Finance, Financial Services, Funding Platform",10,Seed,6/1/2021,,,,Seed,Seed,,,,9130000,USD,9130000,1,544.514,"490,401.33",530,,,,"Y Combinator, Maverick Ventures, Plug and Play Tech Center, Daniel Curran, Dharmesh Shah"
Swiggy,"Bangalore, Karnataka, India",Active,For Profit,6,2,,2,15,41,"Administrative Services, Food and Beverage, Transportation","Delivery, Food and Beverage, Food Delivery",17,,1/24/2022,1250000000,USD,1250000000,Undisclosed,Undisclosed,1250000000,USD,1250000000,4828380000,USD,4828380000,,"17,661,703","11,010,168.33",789,,,,"Tencent, SoftBank, Meituan, Invesco, Goldman Sachs"
Tive,"Boston, Massachusetts, United States",Active,For Profit,,,,,5,18,"Internet Services, Software, Transportation","Enterprise Software, Internet of Things, Shipping, Software, Supply Chain Management",7,Early Stage Venture,4/11/2022,54000000,USD,54000000,Series B,Series B,54000000,USD,54000000,81929989,USD,81929989,6,81.729,"6,325.33",2.608,,,,"Techstars, Fifth Wall, RRE Ventures, Qualcomm Ventures, AXA Venture Partners"
Stanza Living,"New Delhi, Delhi, India",Active,For Profit,,,,,8,14,"Information Technology, Other, Real Estate, Travel and Tourism","Home Services, Hospitality, Information Technology, Rental Property, Sharing Economy",7,Late Stage Venture,3/23/2022,4250000000,INR,55518002,Debt Financing,Series D,102000000,USD,102000000,227693327,USD,227693327,,706.889,417.155,83,,,,"Sequoia Capital, Matrix Partners, RBL Bank, Accel, Sequoia Capital India"
Twilio,"San Francisco, California, United States",Active,For Profit,16,2,4,2,7,24,"Apps, Information Technology, Internet Services, Messaging and Telecommunications, Mobile, Software","Enterprise Software, Messaging, Mobile Apps, SMS, Software",11,IPO,7/28/2021,378215525,USD,378215525,Post-IPO Equity,Post-IPO Equity,378215525,USD,378215525,614415525,USD,614415525,98,"14,482,569","8,736,997.17",621,253802890,USD,253802890,"Techstars, 500 Startups, Union Square Ventures, Fidelity, Redpoint"
UrbanPiper,"Bengaluru, Karnataka, India",Active,For Profit,,,,,5,10,"Food and Beverage, Information Technology, Software","Food and Beverage, Information Services, Information Technology, Restaurants, SaaS",5,Early Stage Venture,4/17/2022,24000000,USD,24000000,Series B,Series B,24000000,USD,24000000,39180783,USD,39180783,,21.603,"20,021.83",796,,,,"Zomato, Swiggy, Tiger Global Management, Sequoia Capital India, Axilor Ventures"
