Source,Target,Type,Id,Label,Weight
9,0,Undirected,9,,1
8,0,Undirected,8,,2
7,0,Undirected,7,,1
6,0,Undirected,6,,1
5,0,Undirected,5,,1
4,0,Undirected,4,,1
3,0,Undirected,2,,10
2,0,Undirected,1,,8
1,0,Undirected,0,,1
11,10,Undirected,10,,1
11,3,Undirected,11,,3
11,2,Undirected,12,,3
11,0,Undirected,13,,5
72,11,Undirected,236,,1
71,11,Undirected,230,,1
70,11,Undirected,221,,1
69,11,Undirected,213,,1
68,11,Undirected,206,,1
64,11,Undirected,184,,1
58,11,Undirected,145,,4
55,11,Undirected,131,,19
51,11,Undirected,119,,2
49,11,Undirected,114,,2
48,11,Undirected,112,,1
44,11,Undirected,106,,1
43,11,Undirected,102,,3
38,11,Undirected,93,,2
37,11,Undirected,87,,2
36,11,Undirected,82,,2
35,11,Undirected,77,,3
34,11,Undirected,75,,3
33,11,Undirected,73,,2
32,11,Undirected,72,,1
31,11,Undirected,69,,3
29,11,Undirected,66,,2
28,11,Undirected,62,,8
27,11,Undirected,57,,17
26,11,Undirected,54,,31
25,11,Undirected,52,,12
24,11,Undirected,49,,7
23,11,Undirected,47,,9
15,11,Undirected,17,,1
14,11,Undirected,16,,1
13,11,Undirected,15,,1
12,11,Undirected,14,,1
22,16,Undirected,33,,3
21,16,Undirected,28,,3
20,16,Undirected,24,,3
19,16,Undirected,21,,4
18,16,Undirected,19,,4
17,16,Undirected,18,,4
22,17,Undirected,34,,3
21,17,Undirected,29,,3
20,17,Undirected,25,,3
19,17,Undirected,22,,4
18,17,Undirected,20,,4
22,18,Undirected,35,,3
21,18,Undirected,30,,3
20,18,Undirected,26,,3
19,18,Undirected,23,,4
22,19,Undirected,36,,3
21,19,Undirected,31,,3
20,19,Undirected,27,,4
3,2,Undirected,3,,6
22,20,Undirected,37,,4
21,20,Undirected,32,,5
22,21,Undirected,38,,4
23,22,Undirected,45,,4
23,21,Undirected,44,,4
23,20,Undirected,43,,4
23,19,Undirected,42,,3
23,18,Undirected,41,,3
23,17,Undirected,40,,3
23,16,Undirected,39,,3
23,12,Undirected,46,,2
31,23,Undirected,70,,2
30,23,Undirected,67,,1
29,23,Undirected,64,,1
24,23,Undirected,48,,2
70,24,Undirected,222,,1
69,24,Undirected,214,,1
68,24,Undirected,207,,1
50,24,Undirected,116,,1
42,24,Undirected,101,,1
41,24,Undirected,97,,2
26,24,Undirected,53,,4
25,24,Undirected,50,,13
25,23,Undirected,51,,1
75,25,Undirected,242,,3
71,25,Undirected,233,,1
70,25,Undirected,218,,4
69,25,Undirected,211,,6
68,25,Undirected,205,,5
42,25,Undirected,100,,2
41,25,Undirected,98,,3
40,25,Undirected,96,,1
39,25,Undirected,95,,1
26,25,Undirected,56,,1
26,16,Undirected,55,,1
72,26,Undirected,234,,2
54,26,Undirected,125,,1
51,26,Undirected,118,,2
49,26,Undirected,113,,3
43,26,Undirected,103,,1
27,26,Undirected,61,,1
27,25,Undirected,59,,5
27,24,Undirected,60,,1
27,23,Undirected,58,,5
72,27,Undirected,235,,1
71,27,Undirected,226,,1
70,27,Undirected,223,,1
69,27,Undirected,215,,2
68,27,Undirected,208,,1
58,27,Undirected,143,,6
43,27,Undirected,104,,1
33,27,Undirected,74,,1
31,27,Undirected,71,,1
29,27,Undirected,65,,1
28,27,Undirected,63,,1
45,28,Undirected,107,,2
44,28,Undirected,105,,3
38,29,Undirected,94,,1
37,29,Undirected,88,,1
36,29,Undirected,83,,1
35,29,Undirected,79,,2
34,29,Undirected,76,,2
31,30,Undirected,68,,2
38,34,Undirected,89,,2
37,34,Undirected,84,,2
36,34,Undirected,80,,2
35,34,Undirected,78,,3
38,35,Undirected,90,,2
37,35,Undirected,85,,2
36,35,Undirected,81,,2
38,36,Undirected,91,,2
37,36,Undirected,86,,2
38,37,Undirected,92,,2
52,39,Undirected,121,,1
75,41,Undirected,244,,1
71,41,Undirected,232,,1
70,41,Undirected,224,,1
69,41,Undirected,217,,1
68,41,Undirected,210,,1
57,41,Undirected,139,,1
42,41,Undirected,99,,2
47,46,Undirected,108,,1
48,47,Undirected,109,,2
